Vall,lower_state_fit,middle_state_fit,higher_state_fit,transmon_fit
-2.270584292280702,3.512365491896531,4.255928516146278,4.493799127092241,4.350338078542086
-2.2579832897744363,3.5118244833275045,4.2277680327928655,4.477501449314722,4.305879917512832
-2.2453822872681704,3.5112092383110456,4.195521786448618,4.4644546206520115,4.2605868426069815
-2.232781284761905,3.5105036387166586,4.159698824569697,4.454130928504849,4.214440188681437
-2.2201802822556393,3.5096865982210215,4.120840735298653,4.445968859662495,4.1674200306680085
-2.2075792797493734,3.508730025077715,4.079421584107574,4.4394730515213,4.1195050714351344
-2.194978277243108,3.5075957173659713,4.035814765195989,4.434247315562269,4.070672516663351
-2.182377274736842,3.5062304965899753,3.9902974099879525,4.429990088862819,4.020897934854128
-2.1697762722305765,3.5045583397333906,3.990113527935297,4.426476719655737,3.9701551002614717
-2.157175269724311,3.5024672205702254,3.9404653625279353,4.423540761917888,3.918415816136643
-2.1445742672180454,3.4997862996863924,3.8903801820241055,4.421058458566411,3.86564971519202
-2.1319732647117795,3.4962449662949453,3.8400958333820254,4.4189370219586355,3.811824033598875
-2.119372262205514,3.491397227156065,3.7900228925928414,4.417106133782147,3.756903354108534
-2.106771259699248,3.4844819015507005,3.7408841766456575,4.415511876338271,3.7008493129910516
-2.0941702571929826,3.474183575137416,3.693953454009601,4.414112412664944,3.6436202643741185
-2.081569254686717,3.458349203626329,3.651338454892405,4.4128748995398945,3.5851708941755853
-2.068968252180451,3.434144182127747,3.6158243558635204,4.411773264634311,3.5254517740752096
-2.0563672496741856,3.399530903216613,3.5893947040305694,4.4107865905249355,3.4644088437555585
-2.0437662471679197,3.3550076817697865,3.5714918881119764,4.409897927497472,3.4019828068119145
-2.031165244661654,3.3028593996817532,3.559765785054693,4.409093411883988,3.338108422085715
-2.0185642421553887,3.2452811303574958,3.5519492993154405,4.4083616042032165,3.2727136674386657
-2.005963239649123,3.183702825096216,3.5465326834936355,4.407692987027197,3.2057187467693815
-1.9933622371428572,3.1189312697213993,3.542620394523461,4.40707958009755,3.137034902835534
-1.9807612346365917,3.051392299049161,3.539687449353526,4.406514642364821,3.0665629874018463
-1.9681602321303258,2.9812905960010125,3.5374178898487143,4.40599243907771,2.994191725254713
