Frequency (GHz)	Im(Y(1,1)) : transmon_coupling qq leg	Im(Y(1,2)) : transmon_coupling qq leg	Im(Y(2,2)) : transmon_coupling qq leg
5.97	0.00410281	-1.62096e-05	0.00409957
5.98	0.00411012	-1.62176e-05	0.00410688
5.99	0.00411744	-1.62254e-05	0.00411418
6	0.00412476	-1.62331e-05	0.00412149
6.01	0.00413208	-1.62407e-05	0.00412881
6.02	0.0041394	-1.62481e-05	0.00413612
6.03	0.00414672	-1.62555e-05	0.00414344
6.04	0.00415405	-1.62627e-05	0.00415075
6.05	0.00416138	-1.62698e-05	0.00415808
6.06	0.00416871	-1.62768e-05	0.0041654
6.07	0.00417605	-1.62837e-05	0.00417272
6.08	0.00418338	-1.62904e-05	0.00418005
6.09	0.00419072	-1.62971e-05	0.00418738
6.1	0.00419806	-1.63036e-05	0.00419472
6.11	0.00420541	-1.631e-05	0.00420205
6.12	0.00421275	-1.63163e-05	0.00420939
6.13	0.0042201	-1.63224e-05	0.00421673
6.14	0.00422745	-1.63285e-05	0.00422407
6.15	0.00423481	-1.63344e-05	0.00423141
6.16	0.00424216	-1.63402e-05	0.00423876
6.17	0.00424952	-1.63458e-05	0.00424611
6.18	0.00425688	-1.63514e-05	0.00425346
6.19	0.00426424	-1.63568e-05	0.00426082
6.2	0.00427161	-1.63621e-05	0.00426817
6.21	0.00427898	-1.63673e-05	0.00427553
6.22	0.00428635	-1.63724e-05	0.00428289
6.23	0.00429372	-1.63773e-05	0.00429026
6.24	0.0043011	-1.63821e-05	0.00429762
6.25	0.00430847	-1.63868e-05	0.00430499
6.26	0.00431585	-1.63914e-05	0.00431236
6.27	0.00432324	-1.63958e-05	0.00431974
6.28	0.00433062	-1.64001e-05	0.00432711
6.29	0.00433801	-1.64043e-05	0.00433449
6.3	0.0043454	-1.64084e-05	0.00434187
6.31	0.00435279	-1.64124e-05	0.00434925
6.32	0.00436018	-1.64162e-05	0.00435664
6.33	0.00436758	-1.64199e-05	0.00436403
6.34	0.00437498	-1.64234e-05	0.00437142
6.35	0.00438238	-1.64269e-05	0.00437881
6.36	0.00438979	-1.64302e-05	0.00438621
6.37	0.0043972	-1.64334e-05	0.00439361
6.38	0.00440461	-1.64365e-05	0.00440101
6.39	0.00441202	-1.64394e-05	0.00440841
6.4	0.00441943	-1.64423e-05	0.00441582
6.41	0.00442685	-1.6445e-05	0.00442322
6.42	0.00443427	-1.64475e-05	0.00443063
6.43	0.00444169	-1.645e-05	0.00443805
6.44	0.00444912	-1.64523e-05	0.00444546
6.45	0.00445655	-1.64545e-05	0.00445288
6.46	0.00446398	-1.64565e-05	0.0044603
6.47	0.00447141	-1.64585e-05	0.00446773
6.48	0.00447885	-1.64603e-05	0.00447515
6.49	0.00448628	-1.64619e-05	0.00448258
6.5	0.00449372	-1.64635e-05	0.00449001
6.51	0.00450117	-1.64649e-05	0.00449745
6.52	0.00450861	-1.64662e-05	0.00450488
6.53	0.00451606	-1.64674e-05	0.00451232
6.54	0.00452351	-1.64684e-05	0.00451976
6.55	0.00453097	-1.64693e-05	0.00452721
6.56	0.00453842	-1.64701e-05	0.00453465
6.57	0.00454588	-1.64708e-05	0.0045421
6.58	0.00455334	-1.64713e-05	0.00454956
6.59	0.00456081	-1.64717e-05	0.00455701
6.6	0.00456828	-1.64719e-05	0.00456447
6.61	0.00457575	-1.64721e-05	0.00457193
6.62	0.00458322	-1.64721e-05	0.00457939
6.63	0.00459069	-1.64719e-05	0.00458686
6.64	0.00459817	-1.64717e-05	0.00459432
6.65	0.00460565	-1.64713e-05	0.00460179
6.66	0.00461313	-1.64708e-05	0.00460927
6.67	0.00462062	-1.64701e-05	0.00461674
6.68	0.00462811	-1.64694e-05	0.00462422
6.69	0.0046356	-1.64685e-05	0.0046317
6.7	0.00464309	-1.64674e-05	0.00463919
6.71	0.00465059	-1.64662e-05	0.00464667
6.72	0.00465809	-1.64649e-05	0.00465416
6.73	0.00466559	-1.64635e-05	0.00466165
6.74	0.00467309	-1.6462e-05	0.00466915
6.75	0.0046806	-1.64603e-05	0.00467665
6.76	0.00468811	-1.64584e-05	0.00468415
6.77	0.00469562	-1.64565e-05	0.00469165
6.78	0.00470314	-1.64544e-05	0.00469915
6.79	0.00471066	-1.64522e-05	0.00470666
6.8	0.00471818	-1.64498e-05	0.00471417
6.81	0.0047257	-1.64473e-05	0.00472169
6.82	0.00473323	-1.64447e-05	0.00472921
6.83	0.00474076	-1.6442e-05	0.00473672
6.84	0.00474829	-1.64391e-05	0.00474425
6.85	0.00475583	-1.64361e-05	0.00475177
6.86	0.00476337	-1.64329e-05	0.0047593
6.87	0.00477091	-1.64296e-05	0.00476683
6.88	0.00477845	-1.64262e-05	0.00477436
6.89	0.004786	-1.64227e-05	0.0047819
6.9	0.00479355	-1.6419e-05	0.00478944
6.91	0.0048011	-1.64152e-05	0.00479698
6.92	0.00480865	-1.64113e-05	0.00480453
6.93	0.00481621	-1.64072e-05	0.00481207
