Frequency (GHz)	Im(Y(1,1)) : transmon_coupling qq leg	Im(Y(1,2)) : transmon_coupling qq leg	Im(Y(2,2)) : transmon_coupling qq leg
6.97	0.00481751	-4.4617e-05	0.00481478
6.98	0.00482504	-4.46504e-05	0.0048223
6.99	0.00483258	-4.46838e-05	0.00482983
7	0.00484012	-4.4717e-05	0.00483736
7.01	0.00484766	-4.475e-05	0.0048449
7.02	0.0048552	-4.47829e-05	0.00485243
7.03	0.00486275	-4.48157e-05	0.00485997
7.04	0.0048703	-4.48483e-05	0.00486751
7.05	0.00487785	-4.48808e-05	0.00487506
7.06	0.00488541	-4.49132e-05	0.00488261
7.07	0.00489297	-4.49454e-05	0.00489016
7.08	0.00490053	-4.49774e-05	0.00489771
7.09	0.0049081	-4.50094e-05	0.00490527
7.1	0.00491567	-4.50411e-05	0.00491283
7.11	0.00492324	-4.50728e-05	0.00492039
7.12	0.00493081	-4.51043e-05	0.00492795
7.13	0.00493839	-4.51356e-05	0.00493552
7.14	0.00494597	-4.51669e-05	0.0049431
7.15	0.00495355	-4.51979e-05	0.00495067
7.16	0.00496114	-4.52289e-05	0.00495825
7.17	0.00496873	-4.52596e-05	0.00496583
7.18	0.00497632	-4.52903e-05	0.00497341
7.19	0.00498391	-4.53208e-05	0.004981
7.2	0.00499151	-4.53511e-05	0.00498859
7.21	0.00499911	-4.53814e-05	0.00499618
7.22	0.00500672	-4.54114e-05	0.00500378
7.23	0.00501432	-4.54413e-05	0.00501137
7.24	0.00502193	-4.54711e-05	0.00501898
7.25	0.00502955	-4.55008e-05	0.00502658
7.26	0.00503716	-4.55302e-05	0.00503419
7.27	0.00504478	-4.55596e-05	0.0050418
7.28	0.00505241	-4.55888e-05	0.00504941
7.29	0.00506003	-4.56178e-05	0.00505703
7.3	0.00506766	-4.56467e-05	0.00506465
7.31	0.00507529	-4.56755e-05	0.00507227
7.32	0.00508293	-4.57041e-05	0.0050799
7.33	0.00509057	-4.57325e-05	0.00508753
7.34	0.00509821	-4.57609e-05	0.00509516
7.35	0.00510585	-4.5789e-05	0.0051028
7.36	0.0051135	-4.5817e-05	0.00511044
7.37	0.00512115	-4.58449e-05	0.00511808
7.38	0.00512881	-4.58726e-05	0.00512572
7.39	0.00513646	-4.59002e-05	0.00513337
7.4	0.00514412	-4.59276e-05	0.00514102
7.41	0.00515179	-4.59549e-05	0.00514868
7.42	0.00515945	-4.5982e-05	0.00515633
7.43	0.00516712	-4.6009e-05	0.00516399
7.44	0.0051748	-4.60358e-05	0.00517166
