Frequency (GHz)	Im(Y(1,1)) : qubit_coupler_qubit_system	Im(Y(1,2)) : qubit_coupler_qubit_system	Im(Y(1,3)) : qubit_coupler_qubit_system	Im(Y(2,2)) : qubit_coupler_qubit_system	Im(Y(2,3)) : qubit_coupler_qubit_system	Im(Y(3,3)) : qubit_coupler_qubit_system
3.39	0.00228055	-1.12371e-05	-0.000171122	0.00227903	-0.000166882	0.00211486
3.4	0.00228741	-1.12646e-05	-0.00017163	0.00228589	-0.000167378	0.00212117
3.41	0.00229428	-1.12921e-05	-0.000172138	0.00229275	-0.000167874	0.00212748
3.42	0.00230114	-1.13195e-05	-0.000172646	0.0022996	-0.00016837	0.0021338
3.43	0.00230801	-1.13469e-05	-0.000173154	0.00230646	-0.000168866	0.00214011
3.44	0.00231487	-1.13742e-05	-0.000173662	0.00231333	-0.000169361	0.00214643
3.45	0.00232174	-1.14015e-05	-0.00017417	0.00232019	-0.000169857	0.00215275
3.46	0.00232861	-1.14287e-05	-0.000174679	0.00232705	-0.000170353	0.00215906
3.47	0.00233548	-1.14558e-05	-0.000175187	0.00233392	-0.000170849	0.00216538
3.48	0.00234235	-1.14829e-05	-0.000175695	0.00234079	-0.000171345	0.0021717
3.49	0.00234923	-1.151e-05	-0.000176203	0.00234765	-0.000171841	0.00217802
3.5	0.0023561	-1.1537e-05	-0.000176712	0.00235452	-0.000172337	0.00218434
3.51	0.00236297	-1.15639e-05	-0.00017722	0.00236139	-0.000172833	0.00219066
3.52	0.00236985	-1.15908e-05	-0.000177728	0.00236826	-0.000173329	0.00219698
3.53	0.00237673	-1.16177e-05	-0.000178237	0.00237514	-0.000173825	0.0022033
3.54	0.00238361	-1.16445e-05	-0.000178745	0.00238201	-0.000174321	0.00220962
3.55	0.00239049	-1.16712e-05	-0.000179253	0.00238888	-0.000174817	0.00221595
3.56	0.00239737	-1.16979e-05	-0.000179762	0.00239576	-0.000175313	0.00222227
3.57	0.00240425	-1.17245e-05	-0.00018027	0.00240264	-0.00017581	0.00222859
3.58	0.00241114	-1.17511e-05	-0.000180779	0.00240952	-0.000176306	0.00223492
